Test,Metric,Numerator_1,Denominator_1,Group1_Conversion_Rate,Numerator_2,Denominator_2,Group2_Conversion_Rate,"Metric Changes, %",Z-Stat,P-Value,Significant
1,add_payment_info/session,1988,45362,0.04382522816454301,2229,45193,0.049321797623525766,12.54,-3.924884023129521,8.677153267271231e-05,True
1,add_shipping_info/session,3034,45362,0.06688417618270799,3221,45193,0.071272099661452,6.56,-2.603571454721395,0.009225803404204286,True
1,begin_checkout/session,3784,45362,0.08341783871963317,4021,45193,0.08897395614365057,6.66,-2.978782961833959,0.0028939568500496436,True
1,new account/session,3823,45362,0.08427758917155329,3681,45193,0.08145066713871617,-3.35,1.542882614576384,0.1228592597741769,False
2,add_payment_info/session,2344,50637,0.046290262061338544,2409,50244,0.047946023405779796,3.58,-1.240993925082954,0.2146079930564252,False
2,add_shipping_info/session,3480,50637,0.06872445050062208,3510,50244,0.06985908765225698,1.65,-0.7095568649433848,0.4779789765684105,False
2,begin_checkout/session,4262,50637,0.08416770345794578,4313,50244,0.08584109545418359,1.99,-0.9528980407686692,0.3406417328714627,False
2,new account/session,4165,50637,0.08225210814226751,4184,50244,0.08327362471140833,1.24,-0.5887934728848063,0.5559998249117384,False
3,add_payment_info/session,3623,70047,0.051722414949962166,3697,70439,0.052485128976845215,1.47,-0.6431724006448517,0.5201122396904715,False
3,add_shipping_info/session,5298,70047,0.07563493083215556,5188,70439,0.0736523800735388,-2.62,1.4137271445347053,0.15744203211836594,False
3,begin_checkout/session,9532,70047,0.13608006053078647,9264,70439,0.13151805107965758,-3.35,2.5113885009036334,0.012025726872364946,True
3,new account/session,5856,70047,0.08360101074992506,5822,70439,0.08265307571089879,-1.13,0.643488525509626,0.5199071578995274,False
4,add_payment_info/session,3731,105079,0.03550661882964246,3601,105141,0.034249246250273445,-3.54,1.5711064424503227,0.11615792640849863,False
4,add_shipping_info/session,5128,105079,0.04880137801082995,4956,105141,0.04713670214283676,-3.41,1.785795361681634,0.07413239802026593,False
4,begin_checkout/session,12555,105079,0.11948153294188182,12267,105141,0.11667189773732417,-2.35,1.9959978123649886,0.04593416091816525,True
4,new account/session,8984,105079,0.08549757801273328,8687,105141,0.08262238327579155,-3.36,2.3754566027210693,0.01752725332952912,True
